sampleID,treatment,site,state
SPALT_GIN1-10,nooil,GIN1,LA
SPALT_GIN1-9,nooil,GIN1,LA
SPALT_GIN1-7,nooil,GIN1,LA
SPALT_GIN1-6,nooil,GIN1,LA
SPALT_GIN1-4,nooil,GIN1,LA
SPALT_GIN1-3,nooil,GIN1,LA
SPALT_GIN1-2,nooil,GIN1,LA
SPALT_GIN1-1,nooil,GIN1,LA
SPALT_GIN2-11,nooil,GIN2,LA
SPALT_GIN2-7,nooil,GIN2,LA
SPALT_GIN2-6,nooil,GIN2,LA
SPALT_GIN2-4,nooil,GIN2,LA
SPALT_GIN2-3,nooil,GIN2,LA
SPALT_GIN2-2,nooil,GIN2,LA
SPALT_GIN2-1,nooil,GIN2,LA
SPALT_GIN2-12,nooil,GIN2,LA
SPALT_GIO1-10,oil,GIO1,LA
SPALT_GIO1-9,oil,GIO1,LA
SPALT_GIO1-7,oil,GIO1,LA
SPALT_GIO1-6,oil,GIO1,LA
SPALT_GIO1-4,oil,GIO1,LA
SPALT_GIO1-3,oil,GIO1,LA
SPALT_GIO1-2,oil,GIO1,LA
SPALT_GIO1-1,oil,GIO1,LA
SPALT_GIO2-10,oil,GIO2,LA
SPALT_GIO2-9,oil,GIO2,LA
SPALT_GIO2-8,oil,GIO2,LA
SPALT_GIO2-7,oil,GIO2,LA
SPALT_GIO2-6,oil,GIO2,LA
SPALT_GIO2-4,oil,GIO2,LA
SPALT_GIO2-2,oil,GIO2,LA
SPALT_GIO2-1,oil,GIO2,LA
SPALT_MSN7,nooil,MSN,MS
SPALT_MSN9,nooil,MSN,MS
SPALT_MSN8,nooil,MSN,MS
SPALT_MSN5,nooil,MSN,MS
SPALT_MSN4,nooil,MSN,MS
SPALT_MSN3,nooil,MSN,MS
SPALT_MSN2,nooil,MSN,MS
SPALT_MSN1,nooil,MSN,MS
SPALT_MSO9,oil,MSO9,MS
SPALT_MSO8,oil,MSO9,MS
SPALT_MSO7,oil,MSO9,MS
SPALT_MSO6,oil,MSO9,MS
SPALT_MSO5,oil,MSO9,MS
SPALT_MSO4,oil,MSO9,MS
SPALT_MS02,oil,MSO9,MS
SPALT_MSO1,oil,MSO9,MS
