ProbeName	oil_1_1_Median	oil_1_3_Median	oil_2_4_Median	oil_2_5_Median	oil_2_6_Median	oil_3_7_Median	oil_3_8_Median	oil_3_9_Median	no_4_10_Median	no_4_11_Median	no_5_13_Median	no_5_14_Median	no_5_15_Median	no_6_16_Median	no_6_17_Median	no_6_18_Median	oil_1_19_Median	no_4_20_Median
CUST_10000_PI428634872	0.7417100058	0.7200850936	0.9234261555	0.6489742482	0.9365500768	0.5152619917	0.4201898289	0.3111626159	0.3094455663	0.6614663565	0.8760081941	0.935331793	1.0381119621	0.136778273	0.2788930795	0.206546736	0.7344843395	0.8083563514
CUST_10001_PI428634872	-3.770416916	-3.01342213	-3.632166144	-3.451803144	-4.043477232	-3.984383062	-4.017694228	-3.835973514	-3.769588456	-3.7147388	-3.766912186	-3.769883382	-3.559754521	-3.54711531	-3.603979195	-3.504267149	-3.496628903	-3.657977617
CUST_10002_PI428634872	-0.555736973	-0.397504463	-0.486621683	-0.434700161	-0.433786766	-0.449438	-0.988399715	-0.864451695	-1.56225115	-1.353009515	-1.296130521	-1.320557696	-1.329210703	-1.389523704	-1.532886439	-1.453139195	-0.372482518	-1.597083163
CUST_10003_PI428634872	-1.702457714	-2.264853226	-1.639079722	-1.421010467	-1.791042392	-1.704938254	-1.907339148	-1.847774032	-1.530250483	-1.983800047	-1.697584893	-1.803862649	-1.826877116	-1.716046021	-1.554981625	-1.591016988	-1.540545693	-1.993035597
CUST_10004_PI428634872	-0.695918481	-2.441857966	-1.148090273	-1.081381372	-1.124658956	-1.109811123	-0.488456291	-1.219041449	-0.597221307	-0.923471099	-1.203912502	-1.206910965	-1.240745342	-1.290354934	-1.228275538	-1.257706702	-1.27700529	-0.588960492
CUST_10005_PI428634872	-3.053625404	-2.820900152	-3.116911582	-2.067099704	-3.080750314	-2.832402602	-2.537650607	-1.998760172	-3.643712831	-2.12332283	-3.241866309	-2.602073605	-2.567910349	-2.037637252	-2.631940526	-1.725977699	-2.641916867	-2.681421362
CUST_10006_PI428634872	-4.536577361	-5.386992205	-4.571622645	-4.118389049	-4.612534896	-4.623024234	-3.873992798	-3.550476367	-3.974239958	-3.077008505	-5.430819453	-5.136983351	-4.850131556	-4.197484599	-4.087764507	-3.826392377	-2.969414233	-3.632174858
CUST_10007_PI428634872	0.1853349087	-0.045372182	0.5685528312	0.7182789797	0.625609187	0.7298609589	0.5881330081	0.5064826078	1.851635704	1.9141130437	1.8141560494	1.9456141812	1.8849616551	0.2175402736	0.274715914	0.2330068171	0.4190367748	1.7709956409
CUST_10008_PI428634872	-2.337815832	-2.453491272	-2.796487133	-2.611919541	-2.264593355	-2.338238958	-2.102361368	-1.700462381	-2.001327373	-2.349985342	-1.803307104	-2.267840066	-2.20801741	-2.502223325	-2.372768059	-2.9481012	-2.224265023	-2.288990791
CUST_10009_PI428634872	-0.36111683	-0.106081267	-0.103996893	-0.064572353	-0.084808095	-0.175367708	-0.421379204	-0.110407388	0.1193004911	0.1029324292	-0.249958867	-0.155246043	-0.121163955	0.0036250119	-0.046967537	-0.059427604	-0.157009635	0.0569491664
