AT	GO	contig	O_sativa_locus_annotation	ProbeName	TargetID	Variance_population_Oil_	Variance_Residual	SumVariance	SampleVariance	PropVar_population_Oil_	PropVar_Residual	RSquare	N2RLL	AIC	AICC	BIC	F_T3_Oil	F_T3_State	NDF_T3_Oil	NDF_T3_State	DDF_T3_Oil	DDF_T3_State	PrF_T3_Oil	PrF_T3_State	NLP_T3_Oil	NLP_T3_State	Sig Index PrF_T3_Oil	Sig Index PrF_T3_State	Sum Sig Index for F-Tests	Avg Sig Index for F-Tests
AT5G41580	GO:0005634/GO:0008270/GO:0008270	S_alt_contig03743	LOC_Os06g06870.1|13106.m00711|cDNA	CUST_10000_PI428634872	S_alt_contig03743	0.022659	0.027611	0.0502702625	0.0889579212	0.450748	0.549252	0.7294663612	-11.6	-7.6	-7.2	-8.0	0.33	10.64	1	1	33	33	0.5674	0.0026	0.2461125467	2.5888626144	0	1	1	0.5
AT1G15860	GO:0005634/GO:0008150/GO:0005634/GO:0005634	S_alt_contig03745	LOC_Os08g34070.2|13108.m03563|cDNA DCN1, putative, expressed	CUST_10002_PI428634872	S_alt_contig03745	0.011088	0.018478	0.0295650957	0.2265831852	0.37502	0.62498	0.9285815951	-25.6	-21.6	-21.2	-22.0	80.56	3.21	1	1	33	33	<.0001	0.0823	9.6469681876	1.0845548819	1	0	1	0.5
AT3G52870	GO:0008150/GO:0009507/GO:0005516	S_alt_contig03749_RC	LOC_Os12g05420.1|13112.m00546|cDNA calmodulin-binding protein, putative, expressed	CUST_10005_PI428634872	S_alt_contig03749_RC	0	0.197079	0.1970789815	0.2476665732	0	1	0.2497278778	47.9	49.9	50.0	49.7	0.45	10.53	1	1	33	33	0.5066	0.0027	0.2952931717	2.570415686	0	1	1	0.5
AT5G19940	GO:0009534/GO:0070838/GO:0019344/GO:0009941/GO:0019761/GO:0030003/GO:0009507/GO:0009941/GO:0005198/GO:0019761/GO:0009507/GO:0019344/GO:0009941/GO:0009941/GO:0008150/GO:0009941/GO:0009941/GO:0009941/GO:0009941/GO:0009507/GO:0019684/GO:0009507/GO:0009534/GO:0009941/GO:0009941/GO:0009941/GO:0009534/GO:0019684/GO:0009941/GO:0009941/GO:0009941/GO:0009941/GO:0005198/GO:0009941/GO:0009507/GO:0019684/GO:0009507/GO:0009534/GO:0035304/GO:0035304/GO:0035304	S_alt_contig03757	LOC_Os04g51792.1|13104.m05290|cDNA PAP fibrillin family domain containing protein, expressed	CUST_10012_PI428634872	S_alt_contig03757	0.145375	0.063762	0.2091374913	0.4291218286	0.695119	0.304881	0.8717719551	18.7	22.7	23.1	22.3	2.56	8.44	1	1	33	33	0.1190	0.0065	0.9244774937	2.1867633578	0	1	1	0.5
AT1G78300	GO:0009742/GO:0005773/GO:0005774/GO:0005737/GO:0005829/GO:0005774/GO:0019904/GO:0005794/GO:0045309/GO:0005773/GO:0009742/GO:0005886/GO:0005774	S_alt_contig03758	LOC_Os08g37490.1|13108.m03952|cDNA	CUST_10013_PI428634872	S_alt_contig03758	0	0.040598	0.0405976623	0.0494279647	0	1	0.225584219	-4.2	-2.2	-2.1	-2.4	9.60	0.01	1	1	33	33	0.0040	0.9112	2.4024229337	0.0404017918	1	0	1	0.5
AT5G26830	GO:0006435/GO:0010498/GO:0006418/GO:0007010/GO:0007010/GO:0006435/GO:0016876/GO:0043039/GO:0006418/GO:0005524/GO:0010498/GO:0010498/GO:0004812/GO:0006435/GO:0005739/GO:0009507/GO:0006435/GO:0005886/GO:0004829/GO:0006094/GO:0006435/GO:0005739/GO:0005524/GO:0000166/GO:0005618/GO:0006418/GO:0043039/GO:0005737/GO:0004829/GO:0005829/GO:0016020/GO:0006435	S_alt_contig03771	LOC_Os08g19850.1|13108.m02069|cDNA	CUST_10022_PI428634872	S_alt_contig03771	0.021836	0.031832	0.0536686687	0.1127408274	0.406871	0.593129	0.7532544698	-7.4	-3.4	-3.0	-3.8	5.30	10.07	1	1	33	33	0.0278	0.0033	1.5559274009	2.4873235215	0	1	1	0.5
AT3G10300	GO:0030048/GO:0005509/GO:0010286/GO:0005509/GO:0010286/GO:0060151/GO:0005509/GO:0051646/GO:0005509/GO:0051645/GO:0005509/GO:0008150/GO:0005509	S_alt_contig03773	LOC_Os12g04240.1|13112.m00402|cDNA	CUST_10024_PI428634872	S_alt_contig03773	0.008137	0.028502	0.0366391616	0.0707099148	0.222097	0.777903	0.6417685995	-12.9	-8.9	-8.5	-9.3	0.41	17.53	1	1	33	33	0.5240	0.0002	0.2806977692	3.7051516408	0	1	1	0.5
AT3G15730	GO:0009507/GO:0016020/GO:0004630/GO:0005515/GO:0006631/GO:0009789/GO:0004630/GO:0016020/GO:0006972/GO:0004630/GO:0010119/GO:0007030/GO:0005546/GO:0046686/GO:0009737/GO:0030136/GO:0006833/GO:0006094/GO:0016020/GO:0046686/GO:0009266/GO:0005829/GO:0009789/GO:0006096/GO:0006972/GO:0004630/GO:0009506/GO:0007030/GO:0006096/GO:0005739/GO:0006631/GO:0009651/GO:0005509/GO:0006631/GO:0030136/GO:0003824/GO:0009507/GO:0005886/GO:0004630/GO:0048767/GO:0005634/GO:0009845/GO:0009651/GO:0048767/GO:0006631	S_alt_contig03779_RC	LOC_Os01g07760.2|13101.m00798|cDNA	CUST_10030_PI428634872	S_alt_contig03779_RC	0	0.03984	0.0398395515	0.077906974	0	1	0.5178479695	-4.8	-2.8	-2.7	-3.1	31.94	3.51	1	1	33	33	<.0001	0.0700	5.5691380856	1.1548403317	1	0	1	0.5
AT1G27920	GO:0000226/GO:0003674/GO:0009524/GO:0008150/GO:0005874/GO:0009524/GO:0000226/GO:0005819	S_alt_contig03781_RC	LOC_Os08g41890.1|13108.m04501|cDNA microtubule associated protein, putative, expressed	CUST_10032_PI428634872	S_alt_contig03781_RC	0.051537	0.557588	0.6091242628	1.2196638709	0.084608	0.915392	0.5829375388	83.6	87.6	88.0	87.1	13.45	13.50	1	1	33	33	0.0009	0.0008	3.0681165529	3.0756471967	1	1	2	1
NA		S_alt_contig03786_NB		CUST_10037_PI428634872	S_alt_contig03786_NB	0.003831	0.050845	0.0546762795	0.0920013075	0.070065	0.929935	0.4936691712	4.3	8.3	8.7	7.9	12.50	7.45	1	1	33	33	0.0012	0.0101	2.910900357	1.9956786384	1	0	1	0.5
NA		S_alt_contig03789	LOC_Os03g48190.1|13103.m05200|cDNA expressed protein	CUST_10039_PI428634872	S_alt_contig03789	0.058911	0.024985	0.0838955949	0.2009619391	0.70219	0.29781	0.8927307413	-12.1	-8.1	-7.7	-8.5	9.17	4.43	1	1	33	33	0.0047	0.0430	2.3240105224	1.3667539111	1	0	1	0.5
AT4G28610	GO:0006355/GO:0005634/GO:0071486/GO:0006355/GO:0055063/GO:0005634/GO:0007623/GO:0003700/GO:0071486/GO:0006355/GO:0016036/GO:0016036	S_5sp_contig21194	LOC_Os07g25710.4|13107.m02545|cDNA myb-like DNA-binding domain containing protein, expressed	CUST_1003_PI428634872	S_5sp_contig21194	0.002298	0.084291	0.0865885436	0.2117816581	0.026536	0.973464	0.6214493085	28.3	32.3	32.6	31.9	44.10	21.29	1	1	51	51	<.0001	<.0001	7.6967627714	4.5690432061	1	1	2	1
AT5G01520	GO:0008270/GO:0015996/GO:0005829/GO:0005634/GO:0008270/GO:0015996	S_alt_contig03796	LOC_Os07g46700.4|13107.m04935|cDNA	CUST_10044_PI428634872	S_alt_contig03796	0.002162	0.046249	0.0484104804	0.0787415736	0.044654	0.955346	0.4572406282	0.8	4.8	5.2	4.4	10.85	9.26	1	1	33	33	0.0024	0.0046	2.6263990247	2.3397968202	1	1	2	1
AT1G26690	GO:0006810/GO:0006886/GO:0006886/GO:0016021/GO:0005576/GO:0008320/GO:0016020	S_alt_contig03797	LOC_Os07g43890.1|13107.m04614|cDNA emp24/gp25L/p24 family protein, putative, expressed	CUST_10045_PI428634872	S_alt_contig03797	0.031139	0.026825	0.0579637146	0.1363138264	0.537215	0.462785	0.8292082357	-11.7	-7.7	-7.3	-8.1	2.51	13.05	1	1	33	33	0.1224	0.0010	0.9120493861	3.001946524	0	1	1	0.5
